John SMITH,27.4,28,28.7,28.9,29.2,29.9,30.4,31.6,32.7,33.5,33.8,33.8,325,390
David LLOYD,47.2,47.4,48,47.5,49,46.2,49.4,49.7,46.7,48.4,49.5,49.7,500,600
Margaret ROBERTS,63.2,63.6,63.4,64,61.6,62.8,63,61.9,62.2,64,63.9,62.5,625,750
Michael TURNER,53.5,52.2,50.9,50.3,51.9,52.5,53.2,51.4,53.6,53.7,52.5,52.9,516.67,620
Peter SCOTT,38.6,40.2,38.1,41.3,40.5,39.7,41.8,39.3,40.9,42,39.5,41.9,408.33,490
Robert WILKINSON,61.3,61.5,61.6,59.1,59.6,60,60.8,62,60.2,61.2,59.8,59.2,600,720
Paul MITCHELL,34.6,34.8,35,35.2,35.6,36,36.4,36.6,37.2,37.4,37.8,37.9,375,450
Susan EVANS,55.7,56.6,57,54.4,56.7,57.8,58.3,54.9,56.3,57.3,53.3,58.3,575,690
James THOMPSON,43.1,44.2,44.2,42.6,45.1,45.8,43.6,45.8,44.8,44,44.4,45.7,441.67,530
William GRIFFITHS,66.7,67.1,68.2,66.2,64.3,67.9,66.2,64.5,68.2,68.3,65,66.2,658.33,790
Jessica FISHER,38.8,39.8,41.2,44,42.8,43.7,41.3,42.8,44,41.5,42.4,44.1,416.67,500
Isabella ANDERSON,45.1,45.8,46.2,46.9,47.7,48,47.5,48.3,47.7,47.4,46.7,46.2,458.33,550
Daisy HARRISON,27.1,27.8,28.8,29.8,29.8,30.1,29.9,30.7,31,31.3,30.9,29.9,283.33,340
Joseph JACKSON,59.2,59.9,58.9,60.4,57.4,63.8,63.5,62.7,58,58.7,61.6,60.7,591.67,710
Sophie RICHARDSON,55.1,53.6,53.1,54.8,51.9,52.9,55.7,54,54.4,54.5,54.2,54.4,558.33,670
Charlotte BENNETT,45.6,46,45.2,47.2,45,46.2,44.6,47.4,46.6,44.8,47.8,46.2,458.33,550
Joshua CHAPMAN,23.7,21.9,21.4,23.6,22.2,20.9,23.5,22.5,20.3,22.9,23.2,22.4,231,280
Samuel ROGERS,36.2,36.7,37.1,38.3,34.3,34.5,38.2,38.3,36.6,35,36.2,37.9,375,450
